player,player_id,first_serve_pct,first_serve_win_pct,service_win_pct,second_serve_win_pct,first_return_win_pct,second_return_win_pct,rank,age,rank_change,cluster_rank,matches_played,cluster_age,climb_rate
Filip Krajinovic,kb05,0.6125571826912373,0.6974722277889291,0.6524370769980783,0.5566481820486547,0.2819020421500937,0.46026371232832525,34,25.0,195,443,17.0,0.04,11.470588235294118
Fernando Verdasco,v306,0.6046635400037008,0.7472127982819137,0.639508196272392,0.48004056619858215,0.29461472690116575,0.45436224247769036,35,34.0,5,435,54.0,0.029411764705882353,0.09259259259259259
Feliciano Lopez,l397,0.547413092917479,0.5800531503970829,0.551120857699805,0.5217448996846807,0.29029048249478356,0.4259353741496598,36,36.0,-3,433,49.0,0.027777777777777776,-0.061224489795918366
David Ferrer,f401,0.5247261506228508,0.6246639784946237,0.5613599098175855,0.4921875,0.33352941176470585,0.5401808785529716,37,35.0,-12,427,46.0,0.02857142857142857,-0.2608695652173913
Alexandr Dolgopolov,d801,0.6450918630306182,0.6763295741946107,0.6119789139506198,0.492770086809307,0.3073872393567161,0.41657368960351426,38,29.0,31,425,56.0,0.034482758620689655,0.5535714285714286
Andrey Rublev,re44,0.615337180794155,0.728787574262725,0.641720286832713,0.5013614727580156,0.2741696408199023,0.4571967807505474,39,20.0,82,411,55.0,0.05,1.490909090909091
Yuichi Sugita,se73,0.6008780304278951,0.7521381892143387,0.6517027337153514,0.5033045119245265,0.2334982709474331,0.4575992404332522,40,29.0,77,407,44.0,0.034482758620689655,1.75
Benoit Paire,pd31,0.6213099344889614,0.6484115496669078,0.576580638696841,0.46174603174603174,0.26578716690042076,0.33845281306715064,41,28.0,3,402,62.0,0.03571428571428571,0.04838709677419355
Robin Haase,h756,0.635029342421481,0.6928991836995867,0.6261589800681793,0.514693130689036,0.24635192482507068,0.43456771559633056,42,30.0,14,401,54.0,0.03333333333333333,0.25925925925925924
Paolo Lorenzi,l503,0.5752629668527262,0.7301491528450739,0.641708036091502,0.5222064956662043,0.30302699983303993,0.5180029542173255,43,35.0,0,389,56.0,0.02857142857142857,0.0
Steve Johnson,j386,0.6442526564595508,0.7185604918597639,0.604068585507352,0.3936100131752306,0.2796956381952631,0.44484830575256107,44,27.0,-13,383,52.0,0.037037037037037035,-0.25
Karen Khachanov,ke29,0.6020265705643464,0.6734557109557109,0.620339282213221,0.5665700828239528,0.3222704927894945,0.4264031026640676,45,21.0,7,371,51.0,0.047619047619047616,0.13725490196078433
